Inc,Name,Sorting Lv,Sorting,Cost,hasTrigger,Willpower,FX,NobaseLink,ImageLink,Color,Notes,Type,C:\nandeck(1),Designer,Artist,DesArt
,Fateful Tsunami,,Event,4rsrc&,trigger!,,Each player exhausts all their supports until their next prophecy phase. Each player may play a support that costs 3 rsrc& or less exhausted.,tcgpics\cc0 icons\S_Water05.png,C:\nandeck(1)\tcgpics\cc0 icons\S_Water05.png,,,Event,Set 2,Joseph Miller,Joseph Miller,Joseph Miller
,Lady of the Red Strings,1,Character - LotRS,3rsrc&,trigger!,3 wp&,grand~ or (trigger~ 2 rsrc~): Reveal cards from the top of your deck until you reveal a support or character that costs 3 rsrc~ or less. You may draw it or play it. Put the remaining cards on the bottom of your deck in the same order.,tcgpics\prototype pixel art\ladyRedStrings.png,C:\nandeck(1)\tcgpics\prototype pixel art\ladyRedStrings.png,,,Lv.1 Character - LotRS,Set 3,Joseph Miller,Joseph Miller,Joseph Miller
,Grave Tending By Torchlight,,Event,3rsrc&,,,"Gain 1 stars&. Whenever you would draw a card, you may draw this card from your discard pile instead.",tcgpics\prototype pixel art\grobTorch.png,C:\nandeck(1)\tcgpics\prototype pixel art\grobTorch.png,,,Event,Set 2,Cole Hanton,Cole Hanton,Cole Hanton
,Witch's Tale,,Event,4rsrc&,,,"proph&: You may choose not to discard this at the beginning of your prophecy phase. If you don't discard it, put a prophecy token on this card. If you do, gain stars& equal to the number of prophecy tokens on it.",tcgpics\prototype pixel art\witchTale.png,C:\nandeck(1)\tcgpics\prototype pixel art\witchTale.png,,,Event,Set 2,Cole Hanton,Cole Hanton,Cole Hanton
,Gain the Trust of the Tusiki,0,Quest,,,,"5 wp&, proph& => Character: 1 stars&
10 wp&, boot&: 1 stars&
24 wp&, 2 rsrc&: 1 stars& and 4wp& on any other quest.",tcgpics\prototype pixel art\blueGoblin.png,C:\nandeck(1)\tcgpics\prototype pixel art\blueGoblin.png,,,Lv.0 Quest,Set 2,Joseph Miller,Joseph Miller,Joseph Miller
,Goblin Food Program,1,Quest,,,,"8 wp&: 1 stars&
16 wp&: 2 stars& or +4wp& here
24 wp&: 3 stars&",tcgpics\prototype pixel art\goblinFood.png,C:\nandeck(1)\tcgpics\prototype pixel art\goblinFood.png,,,Lv.1 Quest,Set 2,Joseph Miller,Joseph Miller,Joseph Miller
,Goblin Shamanic Ritual,2,Quest,,,,"8 wp&: 2 stars&
16 wp&: 3 stars& or +5 wp& here
24 wp&: 3 stars&",tcgpics\prototype pixel art\goblinShaman.png,C:\nandeck(1)\tcgpics\prototype pixel art\goblinShaman.png,,,Lv.2 Quest,Set 2,Joseph Miller,Joseph Miller,Joseph Miller
,The Bishop's Due,2,Quest,,,,"10wp~, rsrc~, discard a card: The next character you play this turn costs 4 rsrc~ less.
20wp~: Draw a card boot~: +3 wp~ here
30wp~, discard three cards: 7 stars~",tcgpics\prototype pixel art\bishopDue.png,C:\nandeck(1)\tcgpics\prototype pixel art\bishopDue.png,,,Lv.2 Quest,Set 2,Joseph Miller,Joseph Miller,Joseph Miller
,Stone of Avarice,,Support,1rsrc&,,,,tcgpics\prototype pixel art\stoneOfAvarice.png,C:\nandeck(1)\tcgpics\prototype pixel art\stoneOfAvarice.png,,,Support,Set 2,Cole Hanton,Cole Hanton,Cole Hanton
,Edge of the Dauntless,,Support,5rsrc&,,,Discard from play: Gain 3 rsrc& and put 3 wp& on any quest.,tcgpics\prototype pixel art\dauntlessBlade.png,C:\nandeck(1)\tcgpics\prototype pixel art\dauntlessBlade.png,,,Support,Set 2,Joseph Miller,Joseph Miller,Joseph Miller
,Cogwork Delvings,,Support,5rsrc&,,,Exhaust: Draw a card.,tcgpics\prototype pixel art\cogDelvings.png,C:\nandeck(1)\tcgpics\prototype pixel art\cogDelvings.png,,,Support,Set 2,Cole Hanton,Cole Hanton,Cole Hanton
,,,,,,,,,C:\nandeck(1)\,,,,,,,
,,,,,,,,,C:\nandeck(1)\,,,,,,,
